,PAUVKY.03A,PAWHSD.03A,PAUTLA.03A,PAVUDU.03A,PAUVKY.40A,PAWHSD.40A,PAUTLA.40A,PAVUDU.40A
MEF2D.1248,524,233,723,392,231,169,355,266
RPL9.14684,3602,2373,6323,0,3476,1781,3827,0
DDX3X.19151,423,315,409,351,275,101,292,331
DDX3X.19152,423,315,409,351,275,101,292,331
DDX3X.19149,299,206,303,278,246,58,203,249
DDX3X.19148,299,206,302,280,245,58,203,249
DDX3X.19140,518,244,490,410,296,168,268,330
KAT7.7969,357,184,449,300,243,93,254,307
PTMA.10325,3671,4604,5739,4319,3365,1372,2411,3993
PTMA.10324,456,504,665,507,317,156,261,441
TPM3.1192,1841,1062,2420,1538,797,309,820,1183
DDX3X.19142,507,284,428,475,259,106,255,295
HNRNPA2B1.17379,326,95,200,279,275,82,155,207
HNRNPH1.15580,460,198,532,498,315,317,360,469
ENSG00000288663.4285,719,404,926,805,565,400,535,783
PFDN5.4283,719,404,926,805,565,400,535,783
PFDN5.4284,719,404,926,805,565,400,535,783
HLA-E.15964,1040,421,895,622,948,3079,1412,992
DDX5.8696,1057,351,979,657,649,547,733,728
CSNK1D.8810,172,154,346,369,211,226,192,183
CASP8.10153,120,213,221,318,199,283,166,151
PFDN5.4281,403,278,591,533,356,188,321,392
PFDN5.4280,398,267,545,509,354,185,313,387
PFDN5.4282,398,267,545,509,354,185,313,387
ENSG00000257379.4298,1472,1286,2779,2228,1080,650,921,1388
UBR4.1407,223,155,335,243,200,78,157,209
PFDN5.4279,986,617,1360,1340,761,354,595,864
HNRNPA2B1.17380,665,445,774,673,602,225,392,403
JARID2.15857,201,232,544,407,284,123,273,151
THBS1.6206,381,465,2472,5170,5525,1244,1235,191
MAPK14.16049,249,205,512,463,346,106,255,319
TMEM259.9590,669,556,798,805,686,186,696,562
HNRNPA2B1.17375,278,165,351,376,312,60,210,185
